name,length,geometry
"['Delancey Street', 'Williamsburg Bridge']",1006.484,"LINESTRING (-73.9771324 40.7151695, -73.9782822 40.7155284, -73.9787954 40.71572, -73.9841569 40.7173458, -73.9853534 40.7177011, -73.9857322 40.7178138, -73.9858082 40.7178414, -73.9858122 40.7178437, -73.9864599 40.71809, -73.9865384 40.7181209, -73.9866126 40.7181445, -73.9873747 40.7183868, -73.9874415 40.7184071, -73.9880462 40.7185906, -73.9880571 40.7185939, -73.9881645 40.7186264)"
"['East 60th Street', 'FDR Drive']",580.691,"LINESTRING (-73.9639021 40.7612397, -73.9637875 40.7612011, -73.9636188 40.7611311, -73.9629017 40.760832, -73.9624601 40.7606539, -73.9620166 40.7604678, -73.9616495 40.7603138, -73.961609 40.7602969, -73.9615014 40.7602517, -73.9613673 40.7601955, -73.9597424 40.759499, -73.959455 40.759377, -73.9593813 40.7593473, -73.9592658 40.7593001, -73.9591258 40.7592676, -73.9589067 40.759183, -73.9586824 40.7590886, -73.9586659 40.759083, -73.9586525 40.7590799, -73.9586409 40.7590779, -73.958629 40.7590773, -73.9586142 40.7590784, -73.9586021 40.7590801, -73.9585931 40.7590817, -73.9585829 40.7590848, -73.958571 40.7590901, -73.958561 40.7590968, -73.9585491 40.759112, -73.958169 40.7596406)"
"['1st Avenue', 'East 127th Street']",574.371,"LINESTRING (-73.9348832 40.8050065, -73.9347427 40.8049472, -73.9347398 40.804946, -73.9342956 40.8047593, -73.9328383 40.8041443, -73.9327703 40.8041158, -73.9327624 40.8041125, -73.9326682 40.8040729, -73.9323444 40.8039382, -73.9313055 40.8034994, -73.9312143 40.8034625, -73.9308128 40.8032879, -73.9307796 40.8032676, -73.9307508 40.8032394, -73.930733 40.8032084, -73.930642 40.8029947, -73.9306318 40.8029445, -73.9306296 40.8028957, -73.9306363 40.8028468, -73.930652 40.8028029, -73.9306809 40.8027462, -73.9307862 40.8026123, -73.9308738 40.8025081, -73.9313894 40.8018365)"
"['East End Avenue', 'East 90th Street']",1118.6119999999999,"LINESTRING (-73.9521166 40.7813773, -73.9519798 40.7813197, -73.9507901 40.7808192, -73.9500443 40.7805056, -73.9500058 40.7804889, -73.9498809 40.7804348, -73.9497517 40.7803802, -73.9476469 40.7794933, -73.9474999 40.7794315, -73.9473726 40.7793789, -73.9453802 40.7785395, -73.9452597 40.7784878, -73.9451374 40.7784363, -73.9431077 40.7775806, -73.9430787 40.7775686, -73.9430356 40.77755, -73.9430173 40.7775376, -73.9430074 40.7775229, -73.9430031 40.7775031, -73.9430038 40.7774807, -73.9430106 40.7774566, -73.9430289 40.7774252, -73.943331 40.7769992, -73.9433611 40.776955, -73.9433989 40.7768958, -73.9434006 40.7768734, -73.9434068 40.7768514, -73.9434168 40.7768263, -73.9434469 40.7767838, -73.9437692 40.7763547, -73.9438014 40.776313, -73.9438474 40.776257, -73.9438014 40.776313, -73.9437692 40.7763547, -73.9434469 40.7767838, -73.9434168 40.7768263, -73.9434068 40.7768514, -73.9434006 40.7768734, -73.9433989 40.7768958)"
"['FDR Drive', 'East 102nd Street']",1022.231,"LINESTRING (-73.9465498 40.7890006, -73.9464292 40.7889352, -73.9457907 40.78866, -73.9451981 40.7884126, -73.9444629 40.7881058, -73.9443285 40.7880579, -73.9441916 40.7880132, -73.9420802 40.7871201, -73.942045 40.7871055, -73.9419364 40.7870603, -73.9418084 40.7870075, -73.9400433 40.7862649, -73.9399925 40.786243, -73.9399322 40.7862189, -73.9397053 40.7861236, -73.939684 40.7861095, -73.9396745 40.7860919, -73.9396756 40.7860712, -73.9396822 40.7860562, -73.9397006 40.7860345, -73.93985 40.7858728, -73.9399937 40.7857434, -73.9400603 40.7856799, -73.9401346 40.785618, -73.9402129 40.7855537, -73.9402887 40.7854946, -73.9403737 40.7854391, -73.9404786 40.7853722, -73.9405938 40.7853059, -73.9407293 40.7852317, -73.9410405 40.7850458, -73.9411541 40.7849733, -73.9418227 40.7846483, -73.9419442 40.7846006, -73.9421274 40.7845337, -73.9422125 40.7844949, -73.9427447 40.784225, -73.9429425 40.7840873)"
"['East 105th Street', 'FDR Drive']",1015.899,"LINESTRING (-73.9374595 40.7895887, -73.937539 40.7894419, -73.9376027 40.7893031, -73.9378041 40.7888347, -73.9378563 40.7887043, -73.9381506 40.7880228, -73.9381649 40.7879998, -73.9381789 40.7879854, -73.938198 40.7879816, -73.9382276 40.787986, -73.9382585 40.7879947, -73.9388346 40.7882355, -73.9391395 40.7883627, -73.9403301 40.7888672, -73.9404239 40.7888989, -73.9405592 40.7889397, -73.9406714 40.7889872, -73.940703 40.7890006, -73.9416447 40.7893993, -73.9417625 40.7894492, -73.9428092 40.7898925, -73.9429284 40.7899429, -73.943067 40.7900017, -73.9450418 40.7908378, -73.945171 40.7908925, -73.9453083 40.7909506, -73.9466823 40.7915389, -73.9467764 40.7915775)"
"['West 188th Street', 'Wadsworth Terrace']",697.085,"LINESTRING (-73.932092 40.855157, -73.9317441 40.8556244, -73.931705 40.8556818, -73.9316893 40.8557048, -73.931655 40.855755, -73.9316893 40.8557048, -73.931705 40.8556818, -73.9317441 40.8556244, -73.932092 40.855157, -73.9325403 40.8545322, -73.9318807 40.8542458, -73.9317889 40.8542096, -73.9316833 40.8541652, -73.9306739 40.8537403, -73.930539 40.853685, -73.9304169 40.8536336, -73.9292541 40.8531451, -73.929147 40.8531, -73.9290547 40.8530615, -73.9278279 40.85255, -73.9276972 40.8524955)"
"['Old Broadway', 'West 129th Street']",716.426,"LINESTRING (-73.9569253 40.815546, -73.9568318 40.8155907, -73.9566127 40.815792, -73.9562763 40.8156528, -73.9559497 40.8155153, -73.955132 40.815166, -73.9550004 40.8151098, -73.9548742 40.8150566, -73.9531942 40.8143482, -73.953174 40.8143401, -73.9530769 40.8143012, -73.9529839 40.814263, -73.9529205 40.814237, -73.9514548 40.8136229, -73.9513891 40.8135952, -73.951322 40.813567, -73.9513891 40.8135952, -73.9514548 40.8136229, -73.9529205 40.814237, -73.9529839 40.814263, -73.9530769 40.8143012)"
"['West Street', 'Horatio Street', 'Jane Street']",1013.24,"LINESTRING (-74.0041378 40.7381289, -74.0042697 40.7381299, -74.0043365 40.7381304, -74.0054696 40.7381387, -74.0055107 40.738139, -74.00561 40.7381397, -74.0057162 40.73814, -74.0063965 40.738142, -74.00647 40.7381422, -74.0065581 40.7381425, -74.008154 40.7381472, -74.0096022 40.7381542, -74.0096179 40.7381571, -74.0096513 40.7381767, -74.0096758 40.7382178, -74.0096431 40.7385405, -74.0096319 40.7386932, -74.009609 40.7387256, -74.0095808 40.7387482, -74.0095623 40.738755, -74.0095413 40.7387628, -74.0082021 40.7387593, -74.008103 40.738759, -74.0080079 40.7387592, -74.0065387 40.738762, -74.00646 40.7387622, -74.0063602 40.7387624, -74.006002 40.7387631, -74.005635 40.7387639, -74.005613 40.7387639, -74.0055102 40.7387641, -74.0053724 40.7387634, -74.0039384 40.7387565, -74.00386 40.7387561)"
"['Waterside Plaza', 'FDR Drive']",937.925,"LINESTRING (-73.9748022 40.7353722, -73.9747924 40.7354085, -73.9747849 40.7354475, -73.9747829 40.7354828, -73.974784 40.7355089, -73.974794 40.7355843, -73.9748003 40.7356523, -73.9748042 40.7357077, -73.9748071 40.735849, -73.974805 40.7359893, -73.9747805 40.7359951, -73.9747577 40.7360039, -73.9747326 40.7360168, -73.9747086 40.7360361, -73.9746863 40.7360592, -73.9746715 40.7360845, -73.9746622 40.7361125, -73.9746575 40.7361394, -73.9746522 40.7362264, -73.9746476 40.7362642, -73.9746396 40.7363055, -73.9746249 40.7363621, -73.9746091 40.7364156, -73.9745807 40.7365009, -73.9745598 40.7365648, -73.9745432 40.7366106, -73.9744992 40.7366969, -73.9744597 40.7367697, -73.9744501 40.7367883, -73.9744052 40.7368573, -73.9742262 40.7371088, -73.9741861 40.7371759, -73.9741584 40.7372248, -73.9735306 40.738088, -73.9733894 40.7382831, -73.9732312 40.7384927, -73.9731652 40.7385874, -73.9731029 40.7386844, -73.9730442 40.7387834, -73.9729842 40.7388889, -73.9729309 40.7389932, -73.9728876 40.7390912, -73.9728389 40.7392241, -73.9727327 40.7395318, -73.9727002 40.7396036, -73.9726457 40.7397148, -73.9726375 40.7397361, -73.9726312 40.7397569, -73.9726294 40.7397724, -73.9726293 40.739794, -73.9726354 40.7398144, -73.9726495 40.7398425, -73.9726707 40.7398754, -73.9727291 40.7399483, -73.9727106 40.7400192, -73.9726997 40.740085, -73.9726919 40.7401469, -73.9726762 40.7402183, -73.9726357 40.7403717, -73.9725674 40.7406398, -73.9725349 40.7407716, -73.9723966 40.7414446, -73.9723879 40.7415008, -73.9723824 40.741549, -73.9723833 40.7415964, -73.9723911 40.7416463, -73.9724414 40.7419507, -73.9724455 40.7420061, -73.9724452 40.7420567, -73.9724378 40.7421381, -73.9723889 40.7423605, -73.9723548 40.742494, -73.9723145 40.7426244, -73.972254 40.7427864, -73.9721847 40.7429465, -73.9720697 40.7431778, -73.9722255 40.7430812)"
